Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;Extranjeros;2020;70.666
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;TOTAL EDADES;Extranjeros;2019;64.219
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;TOTAL;2021;106.792
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;TOTAL;2020;108.262
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;TOTAL;2019;108.266
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;Españoles;2021;93.857
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;Españoles;2020;95.557
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;Españoles;2019;96.810
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;Extranjeros;2021;12.935
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;Extranjeros;2020;12.705
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;0-15 años;Extranjeros;2019;11.456
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;TOTAL;2021;422.804
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;TOTAL;2020;422.288
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;TOTAL;2019;417.557
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;Españoles;2021;366.798
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;Españoles;2020;366.730
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;Españoles;2019;366.840
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;Extranjeros;2021;56.006
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;Extranjeros;2020;55.558
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;16-64 años;Extranjeros;2019;50.717
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;TOTAL;2021;131.941
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;TOTAL;2020;130.647
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;TOTAL;2019;128.391
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;Españoles;2021;129.441
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;Españoles;2020;128.244
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;Españoles;2019;126.345
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;Extranjeros;2021;2.500
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;Extranjeros;2020;2.403
Total Nacional;15 Navarra, Comunidad Foral de;Ambos sexos;65 y más;Extranjeros;2019;2.046
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;TOTAL;2021;327.465
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;TOTAL;2020;327.226
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;TOTAL;2019;323.631
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;Españoles;2021;291.420
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;Españoles;2020;291.577
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;Españoles;2019;291.225
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;Extranjeros;2021;36.045
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;Extranjeros;2020;35.649
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;TOTAL EDADES;Extranjeros;2019;32.406
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;TOTAL;2021;54.682
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;TOTAL;2020;55.530
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;TOTAL;2019;55.458
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;Españoles;2021;48.073
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;Españoles;2020;49.000
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;Españoles;2019;49.598
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;Extranjeros;2021;6.609
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;Extranjeros;2020;6.530
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;0-15 años;Extranjeros;2019;5.860
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;TOTAL;2021;214.285
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;TOTAL;2020;213.928
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;TOTAL;2019;211.558
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;Españoles;2021;185.854
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;Españoles;2020;185.754
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;Españoles;2019;185.837
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;Extranjeros;2021;28.431
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;Extranjeros;2020;28.174
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;16-64 años;Extranjeros;2019;25.721
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;TOTAL;2021;58.498
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;TOTAL;2020;57.768
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;TOTAL;2019;56.615
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;Españoles;2021;57.493
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;Españoles;2020;56.823
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;Españoles;2019;55.790
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;Extranjeros;2021;1.005
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;Extranjeros;2020;945
Total Nacional;15 Navarra, Comunidad Foral de;Hombres;65 y más;Extranjeros;2019;825
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;TOTAL;2021;334.072
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;TOTAL;2020;333.971
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;TOTAL;2019;330.583
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;Españoles;2021;298.676
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;Españoles;2020;298.954
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;Españoles;2019;298.770
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;Extranjeros;2021;35.396
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;Extranjeros;2020;35.017
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;TOTAL EDADES;Extranjeros;2019;31.813
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;TOTAL;2021;52.110
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;TOTAL;2020;52.732
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;TOTAL;2019;52.808
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;Españoles;2021;45.784
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;Españoles;2020;46.557
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;Españoles;2019;47.212
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;Extranjeros;2021;6.326
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;Extranjeros;2020;6.175
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;0-15 años;Extranjeros;2019;5.596
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;TOTAL;2021;208.519
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;TOTAL;2020;208.360
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;TOTAL;2019;205.999
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;Españoles;2021;180.944
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;Españoles;2020;180.976
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;Españoles;2019;181.003
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;Extranjeros;2021;27.575
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;Extranjeros;2020;27.384
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;16-64 años;Extranjeros;2019;24.996
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;TOTAL;2021;73.443
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;TOTAL;2020;72.879
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;TOTAL;2019;71.776
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;Españoles;2021;71.948
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;Españoles;2020;71.421
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;Españoles;2019;70.555
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;Extranjeros;2021;1.495
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;Extranjeros;2020;1.458
Total Nacional;15 Navarra, Comunidad Foral de;Mujeres;65 y más;Extranjeros;2019;1.221
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;TOTAL;2021;2.213.993
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;TOTAL;2020;2.220.504
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;TOTAL;2019;2.207.776
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;Españoles;2021;2.030.979
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;Españoles;2020;2.040.252
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;Españoles;2019;2.043.968
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;Extranjeros;2021;183.014
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;Extranjeros;2020;180.252
Total Nacional;16 País Vasco;Ambos sexos;TOTAL EDADES;Extranjeros;2019;163.808
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;TOTAL;2021;315.998
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;TOTAL;2020;322.381
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;TOTAL;2019;325.252
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;Españoles;2021;287.050
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;Españoles;2020;293.399
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;Españoles;2019;298.363
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;Extranjeros;2021;28.948
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;Extranjeros;2020;28.982
Total Nacional;16 País Vasco;Ambos sexos;0-15 años;Extranjeros;2019;26.889
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;TOTAL;2021;1.392.990
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;TOTAL;2020;1.398.691
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;TOTAL;2019;1.390.779
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;Españoles;2021;1.244.352
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;Españoles;2020;1.252.510
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;Españoles;2019;1.258.212
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;Extranjeros;2021;148.638
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;Extranjeros;2020;146.181
Total Nacional;16 País Vasco;Ambos sexos;16-64 años;Extranjeros;2019;132.567
Total Nacional;16 País Vasco;Ambos sexos;65 y más;TOTAL;2021;505.005
Total Nacional;16 País Vasco;Ambos sexos;65 y más;TOTAL;2020;499.432
Total Nacional;16 País Vasco;Ambos sexos;65 y más;TOTAL;2019;491.745
Total Nacional;16 País Vasco;Ambos sexos;65 y más;Españoles;2021;499.577
Total Nacional;16 País Vasco;Ambos sexos;65 y más;Españoles;2020;494.343
Total Nacional;16 País Vasco;Ambos sexos;65 y más;Españoles;2019;487.393
Total Nacional;16 País Vasco;Ambos sexos;65 y más;Extranjeros;2021;5.428
Total Nacional;16 País Vasco;Ambos sexos;65 y más;Extranjeros;2020;5.089
Total Nacional;16 País Vasco;Ambos sexos;65 y más;Extranjeros;2019;4.352
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;TOTAL;2021;1.076.385
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;TOTAL;2020;1.079.452
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;TOTAL;2019;1.073.074
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;Españoles;2021;984.638
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;Españoles;2020;989.606
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;Españoles;2019;991.381
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;Extranjeros;2021;91.747
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;Extranjeros;2020;89.846
Total Nacional;16 País Vasco;Hombres;TOTAL EDADES;Extranjeros;2019;81.693
Total Nacional;16 País Vasco;Hombres;0-15 años;TOTAL;2021;162.574
Total Nacional;16 País Vasco;Hombres;0-15 años;TOTAL;2020;165.867
Total Nacional;16 País Vasco;Hombres;0-15 años;TOTAL;2019;167.274
Total Nacional;16 País Vasco;Hombres;0-15 años;Españoles;2021;147.569
Total Nacional;16 País Vasco;Hombres;0-15 años;Españoles;2020;150.817
Total Nacional;16 País Vasco;Hombres;0-15 años;Españoles;2019;153.352
Total Nacional;16 País Vasco;Hombres;0-15 años;Extranjeros;2021;15.005
Total Nacional;16 País Vasco;Hombres;0-15 años;Extranjeros;2020;15.050
Total Nacional;16 País Vasco;Hombres;0-15 años;Extranjeros;2019;13.922
Total Nacional;16 País Vasco;Hombres;16-64 años;TOTAL;2021;698.351
Total Nacional;16 País Vasco;Hombres;16-64 años;TOTAL;2020;700.753
Total Nacional;16 País Vasco;Hombres;16-64 años;TOTAL;2019;696.608
Total Nacional;16 País Vasco;Hombres;16-64 años;Españoles;2021;623.810
Total Nacional;16 País Vasco;Hombres;16-64 años;Españoles;2020;627.996
Total Nacional;16 País Vasco;Hombres;16-64 años;Españoles;2019;630.584
Total Nacional;16 País Vasco;Hombres;16-64 años;Extranjeros;2021;74.541
Total Nacional;16 País Vasco;Hombres;16-64 años;Extranjeros;2020;72.757
Total Nacional;16 País Vasco;Hombres;16-64 años;Extranjeros;2019;66.024
Total Nacional;16 País Vasco;Hombres;65 y más;TOTAL;2021;215.460
Total Nacional;16 País Vasco;Hombres;65 y más;TOTAL;2020;212.832
Total Nacional;16 País Vasco;Hombres;65 y más;TOTAL;2019;209.192
Total Nacional;16 País Vasco;Hombres;65 y más;Españoles;2021;213.259
Total Nacional;16 País Vasco;Hombres;65 y más;Españoles;2020;210.793
Total Nacional;16 País Vasco;Hombres;65 y más;Españoles;2019;207.445
Total Nacional;16 País Vasco;Hombres;65 y más;Extranjeros;2021;2.201
Total Nacional;16 País Vasco;Hombres;65 y más;Extranjeros;2020;2.039
Total Nacional;16 País Vasco;Hombres;65 y más;Extranjeros;2019;1.747
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;TOTAL;2021;1.137.608
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;TOTAL;2020;1.141.052
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;TOTAL;2019;1.134.702
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;Españoles;2021;1.046.341
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;Españoles;2020;1.050.646
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;Españoles;2019;1.052.587
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;Extranjeros;2021;91.267
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;Extranjeros;2020;90.406
Total Nacional;16 País Vasco;Mujeres;TOTAL EDADES;Extranjeros;2019;82.115
Total Nacional;16 País Vasco;Mujeres;0-15 años;TOTAL;2021;153.424
Total Nacional;16 País Vasco;Mujeres;0-15 años;TOTAL;2020;156.514
Total Nacional;16 País Vasco;Mujeres;0-15 años;TOTAL;2019;157.978
Total Nacional;16 País Vasco;Mujeres;0-15 años;Españoles;2021;139.481
Total Nacional;16 País Vasco;Mujeres;0-15 años;Españoles;2020;142.582
Total Nacional;16 País Vasco;Mujeres;0-15 años;Españoles;2019;145.011
Total Nacional;16 País Vasco;Mujeres;0-15 años;Extranjeros;2021;13.943
Total Nacional;16 País Vasco;Mujeres;0-15 años;Extranjeros;2020;13.932
Total Nacional;16 País Vasco;Mujeres;0-15 años;Extranjeros;2019;12.967
Total Nacional;16 País Vasco;Mujeres;16-64 años;TOTAL;2021;694.639
Total Nacional;16 País Vasco;Mujeres;16-64 años;TOTAL;2020;697.938
Total Nacional;16 País Vasco;Mujeres;16-64 años;TOTAL;2019;694.171
Total Nacional;16 País Vasco;Mujeres;16-64 años;Españoles;2021;620.542
Total Nacional;16 País Vasco;Mujeres;16-64 años;Españoles;2020;624.514
Total Nacional;16 País Vasco;Mujeres;16-64 años;Españoles;2019;627.628
Total Nacional;16 País Vasco;Mujeres;16-64 años;Extranjeros;2021;74.097
Total Nacional;16 País Vasco;Mujeres;16-64 años;Extranjeros;2020;73.424
Total Nacional;16 País Vasco;Mujeres;16-64 años;Extranjeros;2019;66.543
Total Nacional;16 País Vasco;Mujeres;65 y más;TOTAL;2021;289.545
Total Nacional;16 País Vasco;Mujeres;65 y más;TOTAL;2020;286.600
Total Nacional;16 País Vasco;Mujeres;65 y más;TOTAL;2019;282.553
Total Nacional;16 País Vasco;Mujeres;65 y más;Españoles;2021;286.318
Total Nacional;16 País Vasco;Mujeres;65 y más;Españoles;2020;283.550
Total Nacional;16 País Vasco;Mujeres;65 y más;Españoles;2019;279.948
Total Nacional;16 País Vasco;Mujeres;65 y más;Extranjeros;2021;3.227
Total Nacional;16 País Vasco;Mujeres;65 y más;Extranjeros;2020;3.050
Total Nacional;16 País Vasco;Mujeres;65 y más;Extranjeros;2019;2.605
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;TOTAL;2021;319.796
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;TOTAL;2020;319.914
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;TOTAL;2019;316.798
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;Españoles;2021;278.905
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;Españoles;2020;279.704
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;Españoles;2019;279.568
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;Extranjeros;2021;40.891
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;Extranjeros;2020;40.210
Total Nacional;17 Rioja, La;Ambos sexos;TOTAL EDADES;Extranjeros;2019;37.230
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;TOTAL;2021;48.444
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;TOTAL;2020;49.126
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;TOTAL;2019;49.148
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;Españoles;2021;40.555
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;Españoles;2020;41.417
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;Españoles;2019;41.960
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;Extranjeros;2021;7.889
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;Extranjeros;2020;7.709
Total Nacional;17 Rioja, La;Ambos sexos;0-15 años;Extranjeros;2019;7.188
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;TOTAL;2021;203.516
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;TOTAL;2020;203.467
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;TOTAL;2019;201.401
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;Españoles;2021;171.914
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;Españoles;2020;172.283
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;Españoles;2019;172.462
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;Extranjeros;2021;31.602
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;Extranjeros;2020;31.184
Total Nacional;17 Rioja, La;Ambos sexos;16-64 años;Extranjeros;2019;28.939
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;TOTAL;2021;67.836
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;TOTAL;2020;67.321
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;TOTAL;2019;66.249
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;Españoles;2021;66.436
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;Españoles;2020;66.004
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;Españoles;2019;65.146
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;Extranjeros;2021;1.400
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;Extranjeros;2020;1.317
Total Nacional;17 Rioja, La;Ambos sexos;65 y más;Extranjeros;2019;1.103
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;TOTAL;2021;157.823
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;TOTAL;2020;157.835
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;TOTAL;2019;156.179
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;Españoles;2021;137.513
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;Españoles;2020;137.892
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;Españoles;2019;137.762
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;Extranjeros;2021;20.310
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;Extranjeros;2020;19.943
Total Nacional;17 Rioja, La;Hombres;TOTAL EDADES;Extranjeros;2019;18.417
Total Nacional;17 Rioja, La;Hombres;0-15 años;TOTAL;2021;24.956
Total Nacional;17 Rioja, La;Hombres;0-15 años;TOTAL;2020;25.269
Total Nacional;17 Rioja, La;Hombres;0-15 años;TOTAL;2019;25.274
Total Nacional;17 Rioja, La;Hombres;0-15 años;Españoles;2021;20.868
Total Nacional;17 Rioja, La;Hombres;0-15 años;Españoles;2020;21.255
Total Nacional;17 Rioja, La;Hombres;0-15 años;Españoles;2019;21.517
Total Nacional;17 Rioja, La;Hombres;0-15 años;Extranjeros;2021;4.088
Total Nacional;17 Rioja, La;Hombres;0-15 años;Extranjeros;2020;4.014
Total Nacional;17 Rioja, La;Hombres;0-15 años;Extranjeros;2019;3.757
Total Nacional;17 Rioja, La;Hombres;16-64 años;TOTAL;2021;102.692
Total Nacional;17 Rioja, La;Hombres;16-64 años;TOTAL;2020;102.640
Total Nacional;17 Rioja, La;Hombres;16-64 años;TOTAL;2019;101.518
Total Nacional;17 Rioja, La;Hombres;16-64 años;Españoles;2021;87.004
Total Nacional;17 Rioja, La;Hombres;16-64 años;Españoles;2020;87.204
Total Nacional;17 Rioja, La;Hombres;16-64 años;Españoles;2019;87.288
Total Nacional;17 Rioja, La;Hombres;16-64 años;Extranjeros;2021;15.688
Total Nacional;17 Rioja, La;Hombres;16-64 años;Extranjeros;2020;15.436
Total Nacional;17 Rioja, La;Hombres;16-64 años;Extranjeros;2019;14.230
Total Nacional;17 Rioja, La;Hombres;65 y más;TOTAL;2021;30.175
Total Nacional;17 Rioja, La;Hombres;65 y más;TOTAL;2020;29.926
Total Nacional;17 Rioja, La;Hombres;65 y más;TOTAL;2019;29.387
Total Nacional;17 Rioja, La;Hombres;65 y más;Españoles;2021;29.641
Total Nacional;17 Rioja, La;Hombres;65 y más;Españoles;2020;29.433
Total Nacional;17 Rioja, La;Hombres;65 y más;Españoles;2019;28.957
Total Nacional;17 Rioja, La;Hombres;65 y más;Extranjeros;2021;534
Total Nacional;17 Rioja, La;Hombres;65 y más;Extranjeros;2020;493
Total Nacional;17 Rioja, La;Hombres;65 y más;Extranjeros;2019;430
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;TOTAL;2021;161.973
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;TOTAL;2020;162.079
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;TOTAL;2019;160.619
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;Españoles;2021;141.392
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;Españoles;2020;141.812
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;Españoles;2019;141.806
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;Extranjeros;2021;20.581
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;Extranjeros;2020;20.267
Total Nacional;17 Rioja, La;Mujeres;TOTAL EDADES;Extranjeros;2019;18.813
Total Nacional;17 Rioja, La;Mujeres;0-15 años;TOTAL;2021;23.488
Total Nacional;17 Rioja, La;Mujeres;0-15 años;TOTAL;2020;23.857
Total Nacional;17 Rioja, La;Mujeres;0-15 años;TOTAL;2019;23.874
Total Nacional;17 Rioja, La;Mujeres;0-15 años;Españoles;2021;19.687
Total Nacional;17 Rioja, La;Mujeres;0-15 años;Españoles;2020;20.162
Total Nacional;17 Rioja, La;Mujeres;0-15 años;Españoles;2019;20.443
Total Nacional;17 Rioja, La;Mujeres;0-15 años;Extranjeros;2021;3.801
Total Nacional;17 Rioja, La;Mujeres;0-15 años;Extranjeros;2020;3.695
Total Nacional;17 Rioja, La;Mujeres;0-15 años;Extranjeros;2019;3.431
Total Nacional;17 Rioja, La;Mujeres;16-64 años;TOTAL;2021;100.824
Total Nacional;17 Rioja, La;Mujeres;16-64 años;TOTAL;2020;100.827
Total Nacional;17 Rioja, La;Mujeres;16-64 años;TOTAL;2019;99.883
Total Nacional;17 Rioja, La;Mujeres;16-64 años;Españoles;2021;84.910
Total Nacional;17 Rioja, La;Mujeres;16-64 años;Españoles;2020;85.079
Total Nacional;17 Rioja, La;Mujeres;16-64 años;Españoles;2019;85.174
Total Nacional;17 Rioja, La;Mujeres;16-64 años;Extranjeros;2021;15.914
Total Nacional;17 Rioja, La;Mujeres;16-64 años;Extranjeros;2020;15.748
Total Nacional;17 Rioja, La;Mujeres;16-64 años;Extranjeros;2019;14.709
Total Nacional;17 Rioja, La;Mujeres;65 y más;TOTAL;2021;37.661
Total Nacional;17 Rioja, La;Mujeres;65 y más;TOTAL;2020;37.395
Total Nacional;17 Rioja, La;Mujeres;65 y más;TOTAL;2019;36.862
Total Nacional;17 Rioja, La;Mujeres;65 y más;Españoles;2021;36.795
Total Nacional;17 Rioja, La;Mujeres;65 y más;Españoles;2020;36.571
Total Nacional;17 Rioja, La;Mujeres;65 y más;Españoles;2019;36.189
