Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;04 Balears, Illes;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;26.198.090
Total Nacional;04 Balears, Illes;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;33.935.302
Total Nacional;05 Canarias;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);42.843.120
Total Nacional;05 Canarias;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;38.630.124
Total Nacional;05 Canarias;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;47.182.560
Total Nacional;05 Canarias;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);731.538
Total Nacional;05 Canarias;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;709.396
Total Nacional;05 Canarias;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;737.601
Total Nacional;05 Canarias;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);2.723.630
Total Nacional;05 Canarias;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;2.529.123
Total Nacional;05 Canarias;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;2.700.676
